count,mean,std,min,25%,50%,75%,max
25033.0,253.74817023928415,466.1191604473979,0.444,31.428,88.44,262.14,10500.0
25033.0,3.4655055326968403,2.269199748523918,1.0,2.0,3.0,5.0,14.0
25033.0,0.14456469460312388,0.21221593890430468,0.0,0.0,0.0,0.2,0.85
25033.0,24.354099277753367,160.00677673079343,-3059.82,-2.5872,7.9,34.674,5039.99
25033.0,27.358463348380138,58.49270574985792,0.002,2.68,8.11,25.87,923.63
25033.0,7.560819717972277,4.462583928663462,1.0,4.0,7.0,11.0,17.0
25033.0,3.2954500059920906,0.959861845127872,1.0,2.0,4.0,4.0,4.0
25033.0,979.6503814964248,954.2642424050102,1.0,182.0,669.0,1540.0,3765.0
25033.0,1.7820077497703033,0.8773319901844344,1.0,1.0,1.0,3.0,3.0
25033.0,1.596852155155195,0.8212149862273798,1.0,1.0,1.0,2.0,4.0
25033.0,4.558902249031279,2.0053997758995155,1.0,3.0,5.0,6.0,7.0
